E[1] [eV],Im(eps)_nk_6,Im(eps)_nk_8,Im(eps)_nk_10,Im(eps)_nk_12,Im(eps)_nk_14,Im(eps)_nk_16,Im(eps)_nk_18
11.390980,0.80589000,0.77582400,0.79603400,0.78876700,0.78857700,0.79091700,0.79206600
11.428570,0.78710900,0.76354600,0.79175700,0.78151900,0.78282400,0.78430400,0.78315200
11.466160,0.78446200,0.76083700,0.78706200,0.78115800,0.78213600,0.77916500,0.77821600
11.503760,0.78377300,0.76786900,0.77911100,0.78445800,0.78169400,0.77715800,0.77696700
11.541350,0.77413400,0.78255700,0.77177800,0.78594900,0.77853000,0.77816300,0.77733600
11.578950,0.75392500,0.79876900,0.77303900,0.78387400,0.77685600,0.78224700,0.78086700
11.616540,0.72917800,0.80842300,0.77928700,0.78191800,0.77869900,0.78740400,0.78530600
11.654130,0.71304200,0.81008100,0.78199700,0.78135600,0.78321500,0.78980900,0.78769200
11.691730,0.71420400,0.80464000,0.78024200,0.78091500,0.78835500,0.78721300,0.78598200
11.729320,0.72612000,0.79319000,0.77648600,0.77719900,0.78903100,0.78009900,0.78086400
11.766920,0.74239600,0.77558300,0.77344300,0.77026400,0.78078800,0.76919600,0.77428300
11.804510,0.76568100,0.75884300,0.76754500,0.76611300,0.76707800,0.75866100,0.76636900
11.842100,0.79237400,0.75040200,0.75716200,0.76483200,0.75573400,0.75421700,0.75844900
11.879700,0.81566800,0.74618500,0.75125100,0.76194500,0.74958600,0.75500100,0.75434000
11.917290,0.82928900,0.74247400,0.75188200,0.75840800,0.74857300,0.75805500,0.75464800
11.954890,0.83107700,0.74522000,0.75909300,0.75975800,0.75395800,0.76377300,0.75841700
11.992480,0.82875100,0.75927600,0.77465800,0.76924700,0.76568000,0.77463200,0.76667600
12.030070,0.83113900,0.77719300,0.79399600,0.78310300,0.78337000,0.78895500,0.78074600
12.067670,0.84204800,0.79229200,0.81157400,0.79723900,0.80363400,0.80210000,0.79797300
12.105260,0.85480000,0.80551900,0.81876000,0.80794900,0.81830700,0.80831900,0.81174100
12.142860,0.85754600,0.81195600,0.80965500,0.80968100,0.82026200,0.80469800,0.81672600
12.180450,0.84689200,0.80415800,0.79323900,0.80315800,0.80943500,0.79522400,0.81165200
12.218040,0.82664600,0.78823000,0.78590600,0.79522400,0.79445000,0.79013700,0.80032600
12.255640,0.79946900,0.77555100,0.79148400,0.78847800,0.78336200,0.79213200,0.78692700
12.293230,0.77339500,0.77008000,0.79830700,0.78160800,0.77673300,0.79005800,0.77550400
12.330830,0.75252400,0.76821900,0.79486100,0.77034300,0.77120200,0.77780800,0.76765400
12.368420,0.73014000,0.76690700,0.77852800,0.75562800,0.76380500,0.76363900,0.76117600
12.406010,0.70726700,0.76326900,0.75342300,0.74577400,0.75415600,0.75302100,0.75305000
12.443610,0.69678000,0.75742400,0.73003900,0.74434000,0.74339200,0.74430000,0.74367500
12.481200,0.70282100,0.75023700,0.71200900,0.74617600,0.73278300,0.73574900,0.73640200
12.518800,0.71530300,0.74299400,0.70087100,0.74380900,0.72607300,0.72716100,0.73222300
12.556390,0.71684700,0.73710000,0.69869900,0.73377700,0.72401700,0.71956800,0.72795500
12.593980,0.69798400,0.73370600,0.70103300,0.72105500,0.71978700,0.71443100,0.71942800
12.631580,0.66786700,0.72954700,0.70264800,0.70842600,0.71106700,0.70947500,0.70801600
12.669170,0.63951700,0.71929500,0.70263100,0.69445900,0.70124400,0.70123500,0.69818800
12.706770,0.62032200,0.70393300,0.70467300,0.68214300,0.69388600,0.69269900,0.69087900
12.744360,0.61846000,0.68898300,0.70961600,0.67680400,0.69016200,0.68819400,0.68557000
12.781950,0.63498900,0.67586400,0.71109700,0.68016100,0.68716200,0.68770200,0.68313000
12.819550,0.65782900,0.66254400,0.70698700,0.68624200,0.68231900,0.68819300,0.68330600
12.857140,0.68139600,0.65334800,0.69942600,0.68875600,0.67754800,0.68570900,0.68362100
12.894740,0.70674900,0.65360700,0.68607700,0.68728800,0.67585000,0.67928000,0.68159800
12.932330,0.72046700,0.65989500,0.66809500,0.68131500,0.67455200,0.67121300,0.67673200
12.969920,0.71077000,0.66714900,0.65499400,0.67081100,0.67091800,0.66420400,0.67051800
13.007520,0.68770000,0.67204200,0.65046800,0.65889600,0.66557300,0.65786200,0.66232700
13.045110,0.66545100,0.66801600,0.64816900,0.64710200,0.65541800,0.65021000,0.65101800
13.082710,0.64997600,0.64945600,0.64192500,0.63534800,0.63967600,0.63976600,0.63799300
13.120300,0.63696100,0.62483800,0.62945100,0.62295100,0.62434500,0.62889400,0.62645700
13.157890,0.62603500,0.60741600,0.61217300,0.61207400,0.61575600,0.62101300,0.61921600
13.195490,0.62410300,0.60078800,0.59750600,0.60774500,0.61379700,0.61698600,0.61416000
13.233080,0.62911800,0.60393600,0.59338000,0.60994600,0.61324900,0.61431700,0.60906800
13.270670,0.63312600,0.61209600,0.59857400,0.61332200,0.61011900,0.61046400,0.60574200
13.308270,0.62923500,0.61826200,0.60708200,0.61268700,0.60464000,0.60628200,0.60502600
13.345860,0.62070000,0.61795300,0.61458800,0.60847100,0.60100700,0.60297400,0.60529800
13.383460,0.61724300,0.60845400,0.61698500,0.60452000,0.60006400,0.59879300,0.60414600
13.421050,0.61741200,0.59279400,0.61328300,0.60195200,0.59850000,0.59417700,0.60158600
13.458640,0.61591400,0.58045100,0.60329700,0.59870300,0.59393700,0.59132400,0.59768900
13.496240,0.60853300,0.57549800,0.58985700,0.59160200,0.58669300,0.58774500,0.58922200
13.533830,0.59636400,0.57255500,0.57858800,0.58196200,0.57870500,0.58144300,0.57747600
13.571430,0.58560600,0.56810200,0.56932200,0.57154300,0.57199000,0.57276400,0.56696000
13.609020,0.58007500,0.56404100,0.55975100,0.56230900,0.56688800,0.56437700,0.55904900
13.646620,0.57142900,0.55955400,0.55097300,0.55324800,0.56166800,0.55724600,0.55357800
13.684210,0.55353700,0.55354100,0.54244100,0.54321300,0.55413700,0.54944500,0.54969100
13.721800,0.53530300,0.54410500,0.53391100,0.53454500,0.54315300,0.54029700,0.54447400
13.759400,0.52313500,0.53175700,0.52727000,0.52737100,0.53010800,0.53116000,0.53537400
13.796990,0.51331600,0.52258500,0.52332700,0.52008400,0.51880500,0.52384800,0.52502300
13.834590,0.50337800,0.51718400,0.52090600,0.51386200,0.51181400,0.51845600,0.51790400
13.872180,0.49485400,0.51491700,0.51853900,0.51206500,0.50913000,0.51485800,0.51359000
13.909770,0.49052500,0.51570700,0.51490000,0.51388100,0.51038700,0.51254800,0.51018800
13.947370,0.48994900,0.51768800,0.51162300,0.51510200,0.51319900,0.51172800,0.50894400
13.984960,0.49100200,0.51907000,0.50934500,0.51405100,0.51345200,0.51195300,0.51075200
